A.1. biomass,,,"1,632,508 ","1,754,849 ","1,668,057 ","1,834,527 ","2,094,881 ","2,196,419 ","1,841,593 ","1,518,580 ","1,600,730 ","1,624,698 ","1,548,275 ","1,658,925 ","1,896,308 ","1,978,339 ","2,039,916 ","2,020,114 ","2,418,610 ","2,647,411 ","2,721,432 ","2,512,153 ","2,475,757 ","1,782,281 ","1,828,096 ","2,559,688 ","2,703,538 ","2,667,241 ","2,611,893 ","2,730,666 ","2,489,055 ","2,505,990 ","2,052,755 ","2,558,541 ","2,696,610 ","2,549,410 ","2,576,541 ","3,049,610 ","3,197,346 ","2,681,913 ","2,724,982 ","2,931,602 ","2,938,093 ","3,051,311 ","2,927,835 ","2,638,946 ","2,588,544 ","2,267,215 ","2,352,480 ","2,236,582 "
A.1.1. primary crops,,,"13,689 ","10,718 ","9,718 ","9,302 ","13,434 ","4,464 ","7,481 ","6,454 ","5,338 ","6,229 ","12,406 ","9,409 ","6,910 ","14,311 ","7,213 ","7,986 ","9,485 ","15,680 ","7,696 ","17,714 ","12,650 ","16,370 ","6,630 ","22,341 ","15,066 ","19,493 ","21,103 ","12,871 ","10,557 ","11,093 ","17,643 ","13,496 ","11,983 ","14,828 ","10,659 ","15,419 ","12,207 ","15,634 ","12,890 ","14,128 ","15,908 ","12,170 ","11,825 ","16,532 ","18,519 ","19,314 ","18,526 ","18,419 "
A.1.1.1. Cereals ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A.1.1.2. Roots, tubers",,,"13,000 ","10,000 ","9,000 ","8,500 ","12,500 ","3,494 ","6,521 ","5,604 ","4,465 ","5,406 ","11,407 ","8,554 ","6,030 ","13,418 ","6,305 ","6,918 ","8,296 ","14,284 ","6,360 ","16,243 ","11,218 ","14,943 ","5,366 ","20,804 ","13,316 ","17,603 ","19,177 ","10,960 ","8,544 ","9,308 ","15,774 ","11,586 ","9,579 ","12,154 ","7,652 ","12,115 ","8,971 ","12,181 ","9,536 ","10,638 ","12,096 ","8,800 ","8,049 ","12,666 ","14,550 ","15,040 ","13,860 ","13,372 "
A.1.1.3. Sugar crops ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.1.1.4. Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.1.1.5. Nuts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.1.1.6. Oil bearing crops ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.1.1.7. Vegetables ,,,681 ,710 ,710 ,792 ,922 ,957 ,947 ,837 ,860 ,810 ,986 ,842 ,867 ,880 ,902 ,"1,056 ","1,177 ","1,384 ","1,326 ","1,461 ","1,422 ","1,417 ","1,254 ","1,525 ","1,740 ","1,802 ","1,791 ","1,787 ","1,866 ","1,655 ","1,725 ","1,760 ","2,249 ","2,428 ","2,798 ","3,095 ","3,029 ","3,242 ","3,159 ","3,270 ","3,599 ","3,350 ","3,677 ","3,749 ","3,823 ","4,124 ","4,499 ","4,857 "
A.1.1.8. Fruits ,,,8 ,8 ,8 ,10 ,12 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,6 ,12 ,12 ,12 ,10 ,10 ,10 ,10 ,10 ,12 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,15 ,15 ,15 ,15 ,15 ,15 ,16 ,17 ,18 ,20 ,20 ,20 ,20 ,20 ,20 ,20 
