weblink (doi, website)	Paper_name / source	City	Infra-urban territorial unit	Category	Sub-category	Year	Year (end)	Indicator	Value	Unit	Per capita / total	OBS
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	-3.95	%	total	calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	-7.49	%	total	calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	London		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	-12.05	%	total	calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Paris		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	-3.17	%		calculated. 2006 and 2011 assumed equal
10.1073/pnas.1504315112	Energy and material flows of megacities	Paris		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	-2.89	%		calculated. 2006 and 2011 assumed equal
10.1073/pnas.1504315112	Energy and material flows of megacities	Moscow		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	26.36	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Moscow		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	1039.38	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Los Angeles		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	350.30	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Mexico City		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	3.64	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Mexico City		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	18.05	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Mexico City		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	32.56	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Sao Paulo		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	44.11	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Sao Paulo		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	34.48	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Sao Paulo		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	37.98	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Rio de Janeiro		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	93.25	%		
10.1073/pnas.1504315112	Energy and material flows of megacities	Buenos Aires		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	39.16	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Buenos Aires		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	-16.31	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Buenos Aires		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	18.23	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Cairo		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	53.86	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Cairo		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	48.05	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Cairo		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	129.51	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Istanbul		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	148.27	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Istanbul		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	35.37	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Istanbul		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	22.99	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Manila		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	37.52	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Manila		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	-1.70	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Manila		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	0.94	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Jakarta		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	76.59	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Jakarta		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	26.52	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Jakarta		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	16.19	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Delhi		Energy	stationary	2001	2011	10-year growth rate in Total Electricity Consumption 2001-2011	123.41	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Delhi		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	32.96	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Delhi		Energy	total	2001	2011	10-year growth rate 2001-2011 - Total energy consumption (stationary + mobile)	57.16	%		calculated
10.1073/pnas.1504315112	Energy and material flows of megacities	Mumbai		Energy	mobile	2001	2011	10-year growth rate 2001-2011 - Total energy consumption - transportation excluding marine/jet fuel	-39.52	%		calculated
